ap_timeo;ap_datemaj;Commune (nom);Coordonnées;Commune (code INSEE);id;ap_datedeb;ap_datefin;ap_adresse;desserte;desserte_scolaire;desserte_soirs_we;desserte_dimanche;desserte_2145;acces_pmr;banc;eclairage;poubelle;quartier_offre;ap_modif;Date de début de version;Date de fin de version;Est la version active;Visibilité
1374;2022-06-27T02:00:00+02:00;Rennes;48.133162, -1.65696;35238;1374;2022-10-24T02:00:00+02:00;;15 square de Stalingrad, Rennes;14 TTZ;;;;;Oui;Oui;Oui;Non;Maurepas;Changement de desserte;2022-10-24;;Oui;Grand public
1103;2022-06-27T02:00:00+02:00;Rennes;48.138802, -1.659072;35238;1103;2022-10-24T02:00:00+02:00;;329 avenue Général George S. Patton, Rennes;C5;;;;;Oui;Oui;Oui;Non;Saint-Laurent;Changement de desserte;2023-08-01;;Oui;Grand public
4900;2022-06-27T02:00:00+02:00;Langan;48.245235, -1.853701;35144;4900;2022-10-24T02:00:00+02:00;;4 rue de la Chapelle-Chaussée, Langan;82;;;82;;Oui;Non;Non;Non;Langan - Centre-ville;Changement de desserte;2022-10-24;;Oui;Grand public
4901;2022-06-27T02:00:00+02:00;Langan;48.245411, -1.854087;35144;4901;2022-10-24T02:00:00+02:00;;6 rue de la Chapelle-Chaussée, Langan;82;;;82;;Oui;Oui;Oui;Oui;Langan - Centre-ville;Changement de desserte;2022-10-24;;Oui;Grand public
4403;2022-06-27T02:00:00+02:00;Le Verger;48.070056, -1.930273;35351;4403;2022-10-24T02:00:00+02:00;;9 route de Mordelles, le Verger;55 155;;53;55;;Oui;Non;Non;Non;Le Verger - Centre-ville;Changement de desserte;2022-10-24;;Oui;Grand public
1705;2022-09-30T02:00:00+02:00;Rennes;48.113256, -1.675155;35238;1705;2022-10-24T02:00:00+02:00;;7 contour de la Motte, Rennes;C1 C3 12 N5 100;;;;;Oui;;;;;Création;2024-02-12;2024-08-31;Oui;Grand public
1167;2022-06-27T02:00:00+02:00;Rennes;48.109405, -1.678734;35238;1167;2022-10-24T02:00:00+02:00;;14 rue du Pré Botté, Rennes;C4 53 153 67 167;;11 53;53 67;53;Oui;Oui;Oui;Non;Rennes Centre;Changement de desserte;2022-10-24;;Oui;Grand public
2312;2022-06-27T02:00:00+02:00;Bruz;48.049424, -1.740454;35047;2312;2022-10-24T02:00:00+02:00;;3 rue Maryse Bastié, Bruz;C7 C7ex N3;219;;C7;;Oui;Oui;Non;Oui;Bruz - Ker Lann;Changement de desserte;2022-10-24;;Oui;Grand public
2863;2022-06-27T02:00:00+02:00;Saint-Grégoire;48.137055, -1.690559;35278;2863;2022-10-24T02:00:00+02:00;;13 rue du Chesnay Beauregard, Saint-Grégoire;12 14 78 178;;;;;Oui;Oui;Oui;Oui;Saint-Grégoire - C Cial Leclerc;Changement de desserte;2022-10-24;;Oui;Grand public
2615;2022-06-27T02:00:00+02:00;Vern-sur-Seiche;48.058944, -1.616683;35352;2615;2022-10-24T02:00:00+02:00;;8 le Hameau de la Bretonnière, Vern-sur-Seiche;62;;62;62;62;Oui;Non;Non;Non;Vern - Vallée de l'Orson;Changement de desserte;2022-10-24;;Oui;Grand public
4310;2022-06-27T02:00:00+02:00;L'Hermitage;48.12375, -1.817992;35131;4310;2022-10-24T02:00:00+02:00;;16 rue de la Poste, l'Hermitage;53;238 Ts34;53;53;;Oui;Non;Non;Non;L'Hermitage - Centre-ville;Changement de desserte;2022-10-24;;Oui;Grand public
2113;2022-06-20T02:00:00+02:00;Cesson-Sévigné;48.130847, -1.623234;35051;2113;2022-12-15T01:00:00+01:00;;13 rue du Chêne Germain, Cesson-Sévigné;C1 34;;;;;Oui;;;;;Création;2023-04-17;2024-08-31;Oui;Grand public
1401;2022-06-27T02:00:00+02:00;Rennes;48.105574, -1.687728;35238;1401;2022-10-24T02:00:00+02:00;;6 rue Pierre Abélard, Rennes;C6 TTZ API N3;;;;;Oui;Oui;Oui;Oui;Arsenal Redon;;2024-02-12;;Oui;Grand public
1402;2022-06-27T02:00:00+02:00;Rennes;48.105647, -1.685188;35238;1402;2022-10-24T02:00:00+02:00;;22 boulevard de La Tour d'Auvergne, Rennes;C6 API N3;;;;;Oui;Oui;Oui;Oui;Arsenal Redon;;2024-02-12;;Oui;Grand public
